seed,scenario_index,attack,intensity,condition,min_true_c,max_true_c,min_margin_to_sla_c,target_return_min,effective_attack_end_exclusive
11,4,drift,high,mean,28.105867988946404,30.5158732758422,1.4841267241578002,37.0,144.0
11,4,drift,high,oracle,29.27331195497775,30.50393927813158,1.496060721868421,0.0,144.0
11,5,replay,low,fpr_crp,29.018904251960603,30.67872345101738,1.3212765489826204,11.0,144.0
11,5,replay,low,mean,28.742151855476298,30.62131924019109,1.3786807598089084,0.0,144.0
11,5,replay,low,oracle,28.87951851982513,30.51378197605564,1.4862180239443603,8.0,144.0
11,6,replay,high,fpr_crp,29.18430030195397,30.5480421153536,1.4519578846464007,18.0,144.0
11,6,replay,high,mean,28.454945758795034,30.5480421153536,1.4519578846464007,17.0,144.0
11,6,replay,high,oracle,28.84903121665229,30.5480421153536,1.4519578846464007,0.0,144.0
11,7,freeze,low,fpr_crp,28.19774803605344,30.78411925120955,1.2158807487904504,5.0,104.0
11,7,freeze,low,mean,28.756568395866964,30.66411453369307,1.3358854663069302,0.0,104.0
11,7,freeze,low,oracle,29.19681188201342,30.809667019175752,1.1903329808242482,0.0,104.0
11,8,freeze,high,fpr_crp,28.914231397524507,30.47907722215142,1.520922777848579,0.0,144.0
11,8,freeze,high,mean,28.660705771490026,30.539992249595887,1.4600077504041131,17.0,144.0
11,8,freeze,high,oracle,29.10403716950288,30.558832341824537,1.4411676581754627,0.0,144.0
11,9,spike,low,fpr_crp,28.903254382525716,30.71919622148791,1.280803778512091,0.0,144.0
11,9,spike,low,mean,27.8794555575984,30.71919622148791,1.280803778512091,0.0,144.0
11,9,spike,low,oracle,28.81885988899764,30.62263873878451,1.3773612612154906,0.0,144.0
11,10,spike,high,fpr_crp,28.31267159295813,30.62841569384294,1.371584306157061,22.0,144.0
