scenario,suite,seed,attack_type,attack_ratio,sensor_noise_level,sensors_per_group,alpha,beta,mean_rounds,converged_rate,mean_consensus_degree,mean_excluded_per_tick
full_seed42_bias_0p0_noise0p5_s5_a0p2_b0p7,full,42,bias,0.0,0.5,5,0.2,0.7,1.4458333333333333,0.6333333333333333,0.727295443711369,0.5666666666666667
full_seed42_bias_0p0_noise0p5_s9_a0p2_b0p7,full,42,bias,0.0,0.5,9,0.2,0.7,1.8458333333333334,0.5,0.6981829151457247,1.6625
full_seed42_bias_0p1_noise0p1_s13_a0p2_b0p7,full,42,bias,0.1,0.1,13,0.2,0.7,1.5625,0.004166666666666667,0.5011738585216812,0.7458333333333333
full_seed42_bias_0p1_noise0p1_s5_a0p2_b0p7,full,42,bias,0.1,0.1,5,0.2,0.7,1.0416666666666667,0.9333333333333333,0.7791833411723634,0.05
full_seed42_bias_0p1_noise0p1_s9_a0p2_b0p7,full,42,bias,0.1,0.1,9,0.2,0.7,1.5958333333333334,0.4125,0.7051463751471485,0.8375
full_seed42_bias_0p1_noise0p25_s13_a0p2_b0p7,full,42,bias,0.1,0.25,13,0.2,0.7,1.8416666666666666,0.0125,0.5116193537876097,1.6625
full_seed42_bias_0p1_noise0p25_s5_a0p2_b0p7,full,42,bias,0.1,0.25,5,0.2,0.7,1.0958333333333334,0.7708333333333334,0.7561931037192743,0.1125
full_seed42_bias_0p1_noise0p25_s9_a0p2_b0p7,full,42,bias,0.1,0.25,9,0.2,0.7,1.7125,0.5125,0.7072436363891693,1.1916666666666667
full_seed42_bias_0p1_noise0p5_s13_a0p2_b0p7,full,42,bias,0.1,0.5,13,0.2,0.7,2.158333333333333,0.1375,0.5675086251319322,3.966666666666667
full_seed42_bias_0p1_noise0p5_s5_a0p2_b0p7,full,42,bias,0.1,0.5,5,0.2,0.7,1.4458333333333333,0.6333333333333333,0.727295443711369,0.5666666666666667
full_seed42_bias_0p1_noise0p5_s9_a0p2_b0p7,full,42,bias,0.1,0.5,9,0.2,0.7,1.8916666666666666,0.5208333333333334,0.7022663132488921,2.125
full_seed42_bias_0p2_noise0p1_s13_a0p2_b0p7,full,42,bias,0.2,0.1,13,0.2,0.7,1.7291666666666667,0.025,0.4921861509858286,1.5375
full_seed42_bias_0p2_noise0p1_s5_a0p2_b0p7,full,42,bias,0.2,0.1,5,0.2,0.7,1.4291666666666667,0.9125,0.780682169722086,0.475
full_seed42_bias_0p2_noise0p1_s9_a0p2_b0p7,full,42,bias,0.2,0.1,9,0.2,0.7,1.6916666666666667,0.38333333333333336,0.6841694087483481,1.175
full_seed42_bias_0p2_noise0p25_s13_a0p2_b0p7,full,42,bias,0.2,0.25,13,0.2,0.7,2.0,0.016666666666666666,0.4928048096051711,2.504166666666667
full_seed42_bias_0p2_noise0p25_s5_a0p2_b0p7,full,42,bias,0.2,0.25,5,0.2,0.7,1.4291666666666667,0.7833333333333333,0.7517370100280519,0.5208333333333334
full_seed42_bias_0p2_noise0p25_s9_a0p2_b0p7,full,42,bias,0.2,0.25,9,0.2,0.7,1.8416666666666666,0.49166666666666664,0.6927234880130645,1.5625
full_seed42_bias_0p2_noise0p5_s13_a0p2_b0p7,full,42,bias,0.2,0.5,13,0.2,0.7,2.279166666666667,0.12916666666666668,0.5428000844839272,4.729166666666667
full_seed42_bias_0p2_noise0p5_s5_a0p2_b0p7,full,42,bias,0.2,0.5,5,0.2,0.7,1.6083333333333334,0.65,0.709027350055699,0.8416666666666667
full_seed42_bias_0p2_noise0p5_s9_a0p2_b0p7,full,42,bias,0.2,0.5,9,0.2,0.7,1.9833333333333334,0.5333333333333333,0.6896215070116469,2.533333333333333
full_seed42_bias_0p3_noise0p1_s13_a0p2_b0p7,full,42,bias,0.3,0.1,13,0.2,0.7,1.8,0.029166666666666667,0.48576046025417885,1.8458333333333334
full_seed42_bias_0p3_noise0p1_s5_a0p2_b0p7,full,42,bias,0.3,0.1,5,0.2,0.7,1.3625,0.7083333333333334,0.6661183697231347,0.4791666666666667
full_seed42_bias_0p3_noise0p1_s9_a0p2_b0p7,full,42,bias,0.3,0.1,9,0.2,0.7,1.7791666666666666,0.32916666666666666,0.6370419443400422,1.3916666666666666
full_seed42_bias_0p3_noise0p25_s13_a0p2_b0p7,full,42,bias,0.3,0.25,13,0.2,0.7,2.0166666666666666,0.020833333333333332,0.47407562486419164,2.720833333333333
full_seed42_bias_0p3_noise0p25_s5_a0p2_b0p7,full,42,bias,0.3,0.25,5,0.2,0.7,1.4,0.6041666666666666,0.6433606751994121,0.5333333333333333
full_seed42_bias_0p3_noise0p25_s9_a0p2_b0p7,full,42,bias,0.3,0.25,9,0.2,0.7,1.875,0.4041666666666667,0.6421673277893165,1.775
full_seed42_bias_0p3_noise0p5_s13_a0p2_b0p7,full,42,bias,0.3,0.5,13,0.2,0.7,2.3,0.11666666666666667,0.5147784243499182,4.879166666666666
full_seed42_bias_0p3_noise0p5_s5_a0p2_b0p7,full,42,bias,0.3,0.5,5,0.2,0.7,1.5458333333333334,0.475,0.5946558843584139,0.75
full_seed42_bias_0p3_noise0p5_s9_a0p2_b0p7,full,42,bias,0.3,0.5,9,0.2,0.7,2.033333333333333,0.4625,0.6419908532750193,2.6875
full_seed42_bias_0p4_noise0p1_s13_a0p2_b0p7,full,42,bias,0.4,0.1,13,0.2,0.7,1.7791666666666666,0.0375,0.4761123649090512,1.8375
full_seed42_bias_0p4_noise0p1_s5_a0p2_b0p7,full,42,bias,0.4,0.1,5,0.2,0.7,1.3625,0.7083333333333334,0.6661183697231347,0.4791666666666667
full_seed42_bias_0p4_noise0p1_s9_a0p2_b0p7,full,42,bias,0.4,0.1,9,0.2,0.7,1.7208333333333334,0.2708333333333333,0.5820523367492411,1.4083333333333334
full_seed42_bias_0p4_noise0p25_s13_a0p2_b0p7,full,42,bias,0.4,0.25,13,0.2,0.7,2.0125,0.029166666666666667,0.46966745900362966,2.7375
full_seed42_bias_0p4_noise0p25_s5_a0p2_b0p7,full,42,bias,0.4,0.25,5,0.2,0.7,1.4,0.6041666666666666,0.6433606751994121,0.5333333333333333
full_seed42_bias_0p4_noise0p25_s9_a0p2_b0p7,full,42,bias,0.4,0.25,9,0.2,0.7,1.8083333333333333,0.3333333333333333,0.5866925063773113,1.775
full_seed42_bias_0p4_noise0p5_s13_a0p2_b0p7,full,42,bias,0.4,0.5,13,0.2,0.7,2.275,0.10416666666666667,0.4921644369030158,4.866666666666666
full_seed42_bias_0p4_noise0p5_s5_a0p2_b0p7,full,42,bias,0.4,0.5,5,0.2,0.7,1.5458333333333334,0.475,0.5946558843584139,0.75
full_seed42_bias_0p4_noise0p5_s9_a0p2_b0p7,full,42,bias,0.4,0.5,9,0.2,0.7,2.0,0.38333333333333336,0.5851581064368269,2.716666666666667
