family,case,metric,before,after,delta,display_3dp_changed
main_campaign,full_seed11_spike_0p3_noise0p1_s5_a0p2_b0p7,p95_absolute_error,5.2952222784803755,5.3192053021423655,0.02398302366199001,True
main_campaign,full_seed11_spike_0p3_noise0p1_s5_a0p2_b0p7,max_absolute_error,5.707795290251509,5.612645825650791,-0.09514946460071805,True
main_campaign,full_seed11_spike_0p3_noise0p1_s5_a0p3_b0p8,mae,1.7379313736446877,1.7525803447185713,0.014648971073883521,True
main_campaign,full_seed11_spike_0p3_noise0p1_s5_a0p3_b0p8,rmse,2.014638468284351,2.0313289137581174,0.016690445473766413,True
main_campaign,full_seed11_spike_0p3_noise0p1_s5_a0p3_b0p8,median_absolute_error,1.5365943917809406,1.5447433002654134,0.008148908484472805,True
main_campaign,full_seed11_spike_0p3_noise0p1_s5_a0p3_b0p8,p95_absolute_error,3.6809610928165983,3.7429844138038053,0.062023320987206976,True
main_campaign,full_seed11_spike_0p3_noise0p1_s5_a0p3_b0p8,max_absolute_error,4.1113030881302794,4.091416338417802,-0.019886749712477503,True
main_campaign,full_seed11_spike_0p3_noise0p1_s9_a0p2_b0p7,mae,1.5881379652507672,1.5880159172543427,-0.00012204799642456798,False
main_campaign,full_seed11_spike_0p3_noise0p1_s9_a0p2_b0p7,rmse,1.845412624682599,1.8452613385527554,-0.00015128612984360856,False
main_campaign,full_seed11_spike_0p3_noise0p25_s5_a0p2_b0p7,mae,2.1796473492592243,2.193512571887906,0.013865222628681728,True
main_campaign,full_seed11_spike_0p3_noise0p25_s5_a0p2_b0p7,rmse,2.5939964655275602,2.611663030265917,0.017666564738356705,True
main_campaign,full_seed11_spike_0p3_noise0p25_s5_a0p3_b0p8,mae,1.7461618438605266,1.7598703605664299,0.013708516705903229,True
main_campaign,full_seed11_spike_0p3_noise0p25_s5_a0p3_b0p8,rmse,2.029062071447889,2.040522435724061,0.01146036427617192,True
main_campaign,full_seed11_spike_0p3_noise0p25_s5_a0p3_b0p8,median_absolute_error,1.528432619557731,1.5322106397095485,0.003778020151817607,True
main_campaign,full_seed11_spike_0p3_noise0p25_s9_a0p2_b0p7,mae,1.5654489432133738,1.5655136275857842,6.468437241036185e-05,True
main_campaign,full_seed11_spike_0p3_noise0p25_s9_a0p2_b0p7,rmse,1.8320321284980248,1.8320494733423376,1.7344844312816576e-05,False
main_campaign,full_seed11_spike_0p3_noise0p5_s5_a0p2_b0p7,mae,2.1755007758858436,2.1765764995626835,0.0010757236768399459,True
main_campaign,full_seed11_spike_0p3_noise0p5_s5_a0p2_b0p7,rmse,2.599517480191698,2.60179938846048,0.0022819082687819403,True
main_campaign,full_seed11_spike_0p3_noise0p5_s5_a0p3_b0p8,mae,1.7632689798782903,1.7638068417167105,0.000537861838420195,True
main_campaign,full_seed11_spike_0p3_noise0p5_s5_a0p3_b0p8,rmse,2.045497726442619,2.0465306742256866,0.001032947783067506,True
main_campaign,full_seed11_spike_0p4_noise0p1_s5_a0p2_b0p7,mae,2.1738075638333667,2.192272567755865,0.01846500392249828,True
main_campaign,full_seed11_spike_0p4_noise0p1_s5_a0p2_b0p7,rmse,2.5820048993031546,2.6070813157623665,0.02507641645921188,True
main_campaign,full_seed11_spike_0p4_noise0p1_s5_a0p2_b0p7,median_absolute_error,1.5924646971082939,1.6068304742920076,0.01436577718371379,True
main_campaign,full_seed11_spike_0p4_noise0p1_s5_a0p2_b0p7,p95_absolute_error,5.2952222784803755,5.3192053021423655,0.02398302366199001,True
main_campaign,full_seed11_spike_0p4_noise0p1_s5_a0p2_b0p7,max_absolute_error,5.707795290251509,5.612645825650791,-0.09514946460071805,True
main_campaign,full_seed11_spike_0p4_noise0p1_s5_a0p3_b0p8,mae,1.7379313736446877,1.7525803447185713,0.014648971073883521,True
main_campaign,full_seed11_spike_0p4_noise0p1_s5_a0p3_b0p8,rmse,2.014638468284351,2.0313289137581174,0.016690445473766413,True
main_campaign,full_seed11_spike_0p4_noise0p1_s5_a0p3_b0p8,median_absolute_error,1.5365943917809406,1.5447433002654134,0.008148908484472805,True
main_campaign,full_seed11_spike_0p4_noise0p1_s5_a0p3_b0p8,p95_absolute_error,3.6809610928165983,3.7429844138038053,0.062023320987206976,True
main_campaign,full_seed11_spike_0p4_noise0p1_s5_a0p3_b0p8,max_absolute_error,4.1113030881302794,4.091416338417802,-0.019886749712477503,True
