attack_type,attack_ratio,method,seed,sensor_noise_level,sensors_per_group,alpha,beta,mae,rmse,median_absolute_error,p95_absolute_error,max_absolute_error,mean_anomaly_flags,mean_confidence
freeze,0.0,hampel_filter_then_mean,51.333333333333336,0.2833333333333333,9.0,0.25,0.75,1.5055047030231845,1.5696630017338307,1.3856518620044596,2.261319333582599,2.5928041467653817,0.0,1.0
freeze,0.0,mean,51.333333333333336,0.2833333333333333,9.0,0.25,0.75,1.4444259462255238,1.4908385851158745,1.3474679840612556,2.0223981102851605,2.1983511484575198,0.0,1.0
freeze,0.0,median,51.333333333333336,0.2833333333333333,9.0,0.25,0.75,1.5784847036315741,1.6514589038501226,1.4703870162085872,2.347073763943246,2.601161626559418,0.0,1.0
freeze,0.0,trimmed_mean,51.333333333333336,0.2833333333333333,9.0,0.25,0.75,1.4512606355045279,1.4986154617188123,1.3512922027579792,2.0359384359448196,2.22432909837423,0.0,1.0
freeze,0.1,direct_owa,51.333333333333336,0.2833333333333333,9.0,0.25,0.75,1.501959644940443,1.5587948975411179,1.3998690620430765,2.156237024999387,2.3672783934951234,0.0,1.0
freeze,0.1,fpr_owa,51.333333333333336,0.2833333333333333,9.0,0.25,0.75,1.5940698938595657,1.6671457275127102,1.5300280134717552,2.330298112339633,2.553764949687616,0.9652777777777778,0.5364500239867174
freeze,0.1,hampel_filter_then_mean,51.333333333333336,0.2833333333333333,9.0,0.25,0.75,1.4876682783117532,1.5482134147527329,1.3810107286981446,2.2158273933366726,2.5640780914680867,0.0,1.0
freeze,0.1,mean,51.333333333333336,0.2833333333333333,9.0,0.25,0.75,1.4342411767508276,1.4799051161840668,1.3452720632692081,2.00312757765408,2.192405977501714,0.0,1.0
freeze,0.1,median,51.333333333333336,0.2833333333333333,9.0,0.25,0.75,1.5599564912013528,1.630367102289401,1.4655669052162796,2.3199867080727117,2.595954606935446,0.0,1.0
freeze,0.1,trimmed_mean,51.333333333333336,0.2833333333333333,9.0,0.25,0.75,1.440546911172907,1.4870689155214818,1.3493839040948534,2.018019567143425,2.2170883335653753,0.0,1.0
freeze,0.2,direct_owa,51.333333333333336,0.2833333333333333,9.0,0.25,0.75,1.503329067048915,1.5592344463838443,1.4101207616908598,2.1614206768754864,2.3600415970088635,0.0,1.0
freeze,0.2,fpr_owa,51.333333333333336,0.2833333333333333,9.0,0.25,0.75,1.5961136186599207,1.6681888853007896,1.5416918747594468,2.3343485236626047,2.560721871540448,0.9804012345679013,0.5357095796072967
freeze,0.2,hampel_filter_then_mean,51.333333333333336,0.2833333333333333,9.0,0.25,0.75,1.487899037143942,1.5487727156340754,1.3897968940705476,2.235865931642023,2.5557553957138417,0.0,1.0
freeze,0.2,mean,51.333333333333336,0.2833333333333333,9.0,0.25,0.75,1.4348894009077724,1.4789802622946102,1.3588118837706913,1.9926511661659685,2.178639118932052,0.0,1.0
freeze,0.2,median,51.333333333333336,0.2833333333333333,9.0,0.25,0.75,1.558820928653806,1.6292630197210027,1.4720944971996266,2.3332096809619167,2.590266108790797,0.0,1.0
freeze,0.2,trimmed_mean,51.333333333333336,0.2833333333333333,9.0,0.25,0.75,1.4417862169808546,1.4867173067200687,1.363567694937904,2.006038757498002,2.2034141043435924,0.0,1.0
freeze,0.3,direct_owa,51.333333333333336,0.2833333333333333,9.0,0.25,0.75,1.5202897829560547,1.5743285025701896,1.4426837763448181,2.1694723638508244,2.370447104999979,0.0,1.0
freeze,0.3,fpr_owa,51.333333333333336,0.2833333333333333,9.0,0.25,0.75,1.6150765613897293,1.684177841670632,1.564176222599109,2.344266815936847,2.552233155530061,0.9941358024691357,0.5350775667207716
freeze,0.3,hampel_filter_then_mean,51.333333333333336,0.2833333333333333,9.0,0.25,0.75,1.503956993235435,1.5632346539439022,1.4182882000550305,2.229293282070341,2.56460797028522,0.0,1.0
freeze,0.3,mean,51.333333333333336,0.2833333333333333,9.0,0.25,0.75,1.447597188218789,1.490457647796301,1.3858595100573718,2.005799486504608,2.1872862784917806,0.0,1.0
freeze,0.3,median,51.333333333333336,0.2833333333333333,9.0,0.25,0.75,1.578651333751923,1.646901846918486,1.5065394042082656,2.3352914080392613,2.582989798488527,0.0,1.0
freeze,0.3,trimmed_mean,51.333333333333336,0.2833333333333333,9.0,0.25,0.75,1.4545526028051623,1.4981933620057748,1.3903325404371065,2.020398460418982,2.2120090666632444,0.0,1.0
freeze,0.4,direct_owa,51.333333333333336,0.2833333333333333,9.0,0.25,0.75,1.5119466485305113,1.5646355759255233,1.438793952248879,2.1529699204781547,2.362040261442057,0.0,1.0
