scenario,seed,attack_type,attack_ratio,sensor_noise_level,sensors_per_group,alpha,beta,method,mae,rmse,median_absolute_error,p95_absolute_error,max_absolute_error,mean_anomaly_flags,mean_confidence
full_seed11_bias_0p0_noise0p5_s9_a0p3_b0p8,11,bias,0.0,0.5,9,0.3,0.8,fpr_owa,1.7003480934025528,1.778436934064852,1.654233640163059,2.5271347718124075,2.8640736424468036,1.2916666666666667,0.5256730955155429
full_seed11_bias_0p0_noise0p5_s9_a0p2_b0p7,11,bias,0.0,0.5,9,0.2,0.7,mean,1.5474047165491855,1.6012676695301218,1.5060702589497912,2.189618908347935,2.3747925008028763,0.0,1.0
full_seed11_bias_0p0_noise0p5_s9_a0p2_b0p7,11,bias,0.0,0.5,9,0.2,0.7,median,1.6537358947482705,1.7205203934325721,1.5912957873852664,2.440992866902494,2.7635344264645165,0.0,1.0
full_seed11_bias_0p0_noise0p5_s9_a0p2_b0p7,11,bias,0.0,0.5,9,0.2,0.7,trimmed_mean,1.5474047165491855,1.6012676695301218,1.5060702589497912,2.189618908347935,2.3747925008028763,0.0,1.0
full_seed11_bias_0p0_noise0p5_s9_a0p2_b0p7,11,bias,0.0,0.5,9,0.2,0.7,hampel_filter_then_mean,1.628409006009376,1.6940742228864925,1.5453067176778177,2.406984468592107,2.6640961141012656,0.0,1.0
full_seed11_bias_0p0_noise0p5_s9_a0p2_b0p7,11,bias,0.0,0.5,9,0.2,0.7,direct_owa,1.542551926724659,1.6082481073979482,1.4796864258331424,2.2675964329529386,2.4702320022662527,0.0,1.0
full_seed11_bias_0p0_noise0p5_s9_a0p2_b0p7,11,bias,0.0,0.5,9,0.2,0.7,fpr_owa,1.7053325554692842,1.7803703247585505,1.6412696103953297,2.503828933608913,2.7646347948997105,1.2916666666666667,0.5256730955155429
full_seed11_bias_0p0_noise0p5_s13_a0p3_b0p8,11,bias,0.0,0.5,13,0.3,0.8,mean,1.079619229015083,1.1255707960923989,1.0548493016109715,1.6262405756200828,1.8899464401739552,0.0,1.0
full_seed11_bias_0p0_noise0p5_s13_a0p3_b0p8,11,bias,0.0,0.5,13,0.3,0.8,median,1.273962423649408,1.3438058049765766,1.1893160236374274,1.9994630994550453,2.295512442645821,0.0,1.0
full_seed11_bias_0p0_noise0p5_s13_a0p3_b0p8,11,bias,0.0,0.5,13,0.3,0.8,trimmed_mean,1.1106103802777327,1.1572114359523584,1.0813708779994822,1.6503894434140054,1.9255633926004365,0.0,1.0
full_seed11_bias_0p0_noise0p5_s13_a0p3_b0p8,11,bias,0.0,0.5,13,0.3,0.8,hampel_filter_then_mean,1.0894142349591471,1.136760459607412,1.077551969712518,1.6262405756200828,1.9033349604230443,0.0,1.0
full_seed11_bias_0p0_noise0p5_s13_a0p3_b0p8,11,bias,0.0,0.5,13,0.3,0.8,direct_owa,1.341688071629321,1.3957314359256814,1.2869803194138498,1.9525055649351721,2.1871731145624684,0.0,1.0
full_seed11_bias_0p0_noise0p5_s13_a0p3_b0p8,11,bias,0.0,0.5,13,0.3,0.8,fpr_owa,1.3879873128426705,1.4873215954875596,1.3082925736137798,2.2245555160048647,2.5341441719155235,0.9583333333333334,0.5346188595487454
full_seed11_bias_0p0_noise0p5_s13_a0p2_b0p7,11,bias,0.0,0.5,13,0.2,0.7,mean,1.079619229015083,1.1255707960923989,1.0548493016109715,1.6262405756200828,1.8899464401739552,0.0,1.0
full_seed11_bias_0p0_noise0p5_s13_a0p2_b0p7,11,bias,0.0,0.5,13,0.2,0.7,median,1.273962423649408,1.3438058049765766,1.1893160236374274,1.9994630994550453,2.295512442645821,0.0,1.0
full_seed11_bias_0p0_noise0p5_s13_a0p2_b0p7,11,bias,0.0,0.5,13,0.2,0.7,trimmed_mean,1.1106103802777327,1.1572114359523584,1.0813708779994822,1.6503894434140054,1.9255633926004365,0.0,1.0
full_seed11_bias_0p0_noise0p5_s13_a0p2_b0p7,11,bias,0.0,0.5,13,0.2,0.7,hampel_filter_then_mean,1.0894142349591471,1.136760459607412,1.077551969712518,1.6262405756200828,1.9033349604230443,0.0,1.0
full_seed11_bias_0p0_noise0p5_s13_a0p2_b0p7,11,bias,0.0,0.5,13,0.2,0.7,direct_owa,1.0040533022944476,1.0569361100028687,0.9803185180945144,1.5610925697482483,1.7644059122457327,0.0,1.0
full_seed11_bias_0p0_noise0p5_s13_a0p2_b0p7,11,bias,0.0,0.5,13,0.2,0.7,fpr_owa,1.2941491831629999,1.3694718070207745,1.2970916190651123,1.9796666158364291,2.290424006942042,0.9583333333333334,0.5346188595487454
full_seed11_drift_0p0_noise0p1_s5_a0p3_b0p8,11,drift,0.0,0.1,5,0.3,0.8,mean,1.7395804721389132,1.7913689214395372,1.5666693623881685,2.3978227663942944,2.4876712248424355,0.0,1.0
full_seed11_drift_0p0_noise0p1_s5_a0p3_b0p8,11,drift,0.0,0.1,5,0.3,0.8,median,1.7673256905451846,1.8371138002398903,1.6257774414644506,2.4686495199857634,2.570343816486414,0.0,1.0
full_seed11_drift_0p0_noise0p1_s5_a0p3_b0p8,11,drift,0.0,0.1,5,0.3,0.8,trimmed_mean,1.7395804721389132,1.7913689214395372,1.5666693623881685,2.3978227663942944,2.4876712248424355,0.0,1.0
full_seed11_drift_0p0_noise0p1_s5_a0p3_b0p8,11,drift,0.0,0.1,5,0.3,0.8,hampel_filter_then_mean,1.7662357472435555,1.828676071537772,1.611478435724758,2.477834350996723,2.585322747593403,0.0,1.0
full_seed11_drift_0p0_noise0p1_s5_a0p3_b0p8,11,drift,0.0,0.1,5,0.3,0.8,direct_owa,1.808097634625509,1.86474236210751,1.6416957551136782,2.461177039407407,2.54604539209783,0.0,1.0
full_seed11_drift_0p0_noise0p1_s5_a0p3_b0p8,11,drift,0.0,0.1,5,0.3,0.8,fpr_owa,1.774467932880156,1.850312605071101,1.6740220907729897,2.4860800781287797,2.5953096084478187,0.6625,0.5470292178736167
full_seed11_drift_0p0_noise0p1_s5_a0p2_b0p7,11,drift,0.0,0.1,5,0.2,0.7,mean,1.7395804721389132,1.7913689214395372,1.5666693623881685,2.3978227663942944,2.4876712248424355,0.0,1.0
full_seed11_drift_0p0_noise0p1_s5_a0p2_b0p7,11,drift,0.0,0.1,5,0.2,0.7,median,1.7673256905451846,1.8371138002398903,1.6257774414644506,2.4686495199857634,2.570343816486414,0.0,1.0
full_seed11_drift_0p0_noise0p1_s5_a0p2_b0p7,11,drift,0.0,0.1,5,0.2,0.7,trimmed_mean,1.7395804721389132,1.7913689214395372,1.5666693623881685,2.3978227663942944,2.4876712248424355,0.0,1.0
