file,variant,ticks,mae_c,precision,recall,true_positive_reporter_ticks,false_positive_reporter_ticks,false_negative_reporter_ticks,true_negative_reporter_ticks,false_alarm_transition_ticks,nonconverged_ticks,reporter_exclusions,total_rounds
seed42_11_scaling_low_fpr_crp.ticks.csv,temporal_only,240,0.07677912529011022,,0.0,0,0,180,1980,0,0,0,240
seed42_11_scaling_low_fpr_crp.ticks.csv,social_only,240,0.07677912529011022,,0.0,0,0,180,1980,0,0,0,240
seed42_11_scaling_low_fpr_crp.ticks.csv,published_blend,240,0.07677912529011022,,0.0,0,0,180,1980,0,0,0,240
seed42_11_scaling_low_fpr_crp.ticks.csv,social_dynamic_innovation,240,0.07677912529011022,,0.0,0,0,180,1980,0,0,0,240
seed42_12_scaling_high_fpr_crp.ticks.csv,temporal_only,240,0.09799624689909366,,0.0,0,0,180,1980,0,58,5,242
seed42_12_scaling_high_fpr_crp.ticks.csv,social_only,240,0.08421231339110838,1.0,0.9666666666666667,174,0,6,1980,0,0,174,300
seed42_12_scaling_high_fpr_crp.ticks.csv,published_blend,240,0.09821153753888995,1.0,0.016666666666666666,3,0,177,1980,0,57,8,245
seed42_12_scaling_high_fpr_crp.ticks.csv,social_dynamic_innovation,240,0.08541248386408817,1.0,0.9666666666666667,174,0,6,1980,0,0,180,300
seed42_13_stuck_low_fpr_crp.ticks.csv,temporal_only,240,0.07951683427852373,,0.0,0,0,180,1980,0,15,0,240
seed42_13_stuck_low_fpr_crp.ticks.csv,social_only,240,0.07951683427852373,,0.0,0,0,180,1980,0,15,0,240
seed42_13_stuck_low_fpr_crp.ticks.csv,published_blend,240,0.07951683427852373,,0.0,0,0,180,1980,0,15,0,240
seed42_13_stuck_low_fpr_crp.ticks.csv,social_dynamic_innovation,240,0.08035813122579638,1.0,0.03333333333333333,6,0,174,1980,0,9,18,246
seed42_14_stuck_high_fpr_crp.ticks.csv,temporal_only,240,0.12576731445467845,1.0,0.016666666666666666,3,0,177,1980,0,57,9,243
seed42_14_stuck_high_fpr_crp.ticks.csv,social_only,240,0.08187587330703819,1.0,0.9666666666666667,174,0,6,1980,0,0,180,300
seed42_14_stuck_high_fpr_crp.ticks.csv,published_blend,240,0.12503878720558143,1.0,0.03333333333333333,6,0,174,1980,0,56,12,244
seed42_14_stuck_high_fpr_crp.ticks.csv,social_dynamic_innovation,240,0.08187587330703819,1.0,0.9666666666666667,174,0,6,1980,0,0,180,300
